time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,15,6,0,0
2026-04-03 00:00:00+00:00,14,5,1,1
2026-04-04 00:00:00+00:00,11,6,0,0
2026-04-05 00:00:00+00:00,24,8,0,0
2026-04-06 00:00:00+00:00,17,8,0,0
2026-04-07 00:00:00+00:00,13,5,0,0
2026-04-08 00:00:00+00:00,24,8,0,0
2026-04-09 00:00:00+00:00,24,8,0,0
2026-04-10 00:00:00+00:00,3,3,0,0
2026-04-11 00:00:00+00:00,22,9,1,1
2026-04-12 00:00:00+00:00,27,10,1,1
2026-04-13 00:00:00+00:00,22,9,0,0
2026-04-14 00:00:00+00:00,17,5,0,0
2026-04-15 00:00:00+00:00,15,5,0,0
